Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Land transport and transport via pipelines,Units,6.327,6.311,6.743,7.026,7.538,9.461,9.264,9.953,9.399,10.15,10.556,10.301,11.195,12.183,12.114,12.175,11.855,13.098,13.491,13.841,13.306,14.63,15.479,16.021
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Machinery and equipment n.e.c.,Units,0.132,0.129,0.133,0.127,0.159,0.167,0.167,0.112,0.111,0.117,0.122,0.126,0.133,0.142,0.168,0.14,0.14,0.132,0.132,0.109,0.086,0.071,0.073,0.065
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Manufacturing nec; repair and installation of machinery and equipment,Units,0.069,0.081,0.08,0.075,0.085,0.081,0.089,0.089,0.093,0.095,0.081,0.082,0.082,0.074,0.066,0.063,0.06,0.057,0.065,0.069,0.066,0.105,0.104,0.341
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Mining and quarrying, energy producing products",Units,6.779,7.552,7.837,8.042,8.297,9.098,9.109,6.786,8.354,8.619,8.916,10.395,11.382,11.65,12.58,12.604,12.172,12.68,13.165,13.208,12.955,15.197,18.513,20.89
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Mining and quarrying, non-energy producing products",Units,4.414,5.089,5.537,5.191,5.814,6.636,6.112,6.459,5.901,5.861,5.766,6.339,7.158,7.507,7.26,7.13,9.499,10.726,11.9,12.759,12.732,12.866,13.532,14.009
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Mining support service activities,Units,0.618,0.941,1.104,0.97,0.689,0.871,0.974,1.067,0.794,0.81,0.765,0.655,0.679,0.812,0.734,0.616,0.837,1.004,1.133,1.198,1.03,0.862,1.023,1.025
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Motor vehicles, trailers and semi-trailers",Units,0.293,0.346,0.378,0.377,0.146,0.138,0.196,0.149,0.15,0.17,0.155,0.138,0.154,0.148,0.158,0.126,0.123,0.101,0.086,0.055,0.073,0.06,0.054,0.041
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other non-metallic mineral products,Units,5.193,4.842,5.068,5.145,5.282,5.063,5.314,4.959,6.269,6.38,6.167,6.117,6.763,6.829,6.399,6.169,6.422,5.853,5.405,5.129,5.109,5.008,4.722,5.153
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other service activities,Units,0.251,0.284,0.286,0.282,0.27,0.243,0.246,0.251,0.235,0.232,0.223,0.22,0.228,0.209,0.218,0.244,0.24,0.227,0.246,0.239,0.223,0.221,0.211,0.138
Australia,AU,AUS,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other transport equipment,Units,0.203,0.243,0.268,0.274,0.118,0.096,0.166,0.138,0.129,0.157,0.134,0.106,0.118,0.088,0.1,0.079,0.072,0.064,0.071,0.073,0.057,0.066,0.081,0.072
